seq	TSS	strand	nTAGs	isreal
chr10	  68047	+	     2	TRUE
chr10	  68364	+	     2	TRUE
chr10	  70737	+	     1	TRUE
chr10	  70803	+	     1	TRUE
chr10	  70896	+	     1	TRUE
chr10	  71026	+	     1	TRUE
chr10	  71036	+	     3	TRUE
chr10	  71060	+	     2	TRUE
chr10	  71135	+	     1	TRUE
chr10	  75207	+	     5	TRUE
chr10	  75209	+	     2	TRUE
chr10	  75213	+	     2	TRUE
chr10	  75216	+	     8	TRUE
chr10	  75222	+	     1	TRUE
chr10	  75232	+	     2	TRUE
chr10	  75234	+	     4	TRUE
chr10	  75236	+	     5	TRUE
chr10	  75239	+	     6	TRUE
chr10	  75242	+	     3	TRUE
chr10	  75246	+	     4	TRUE
chr10	  75248	+	     1	TRUE
chr10	  75252	+	     1	TRUE
chr10	  75263	+	     2	TRUE
chr10	  75264	+	     1	TRUE
chr10	  75288	+	     2	TRUE
chr10	  75489	+	    16	TRUE
chr10	  75510	+	     5	TRUE
chr10	  75539	+	     6	TRUE
chr10	  75877	+	     6	TRUE
chr10	  75914	+	    14	TRUE
chr10	  75983	+	     4	TRUE
chr10	  75986	+	     3	TRUE
chr10	  75992	+	     1	TRUE
chr10	  76001	+	     1	TRUE
chr10	  76004	+	     2	TRUE
chr10	  76011	+	     1	TRUE
chr10	  76021	+	     1	TRUE
chr10	  76022	+	     3	TRUE
chr10	  76039	+	     2	TRUE
chr10	  76040	+	     2	TRUE
chr10	  76085	+	     3	TRUE
chr10	  76089	+	     1	TRUE
chr10	  76131	+	     1	TRUE
chr10	  76145	+	     1	TRUE
chr10	  76408	+	     3	TRUE
chr10	  76419	+	     2	TRUE
chr10	  79134	+	     1	TRUE
chr10	  79156	+	     1	TRUE
chr10	  79175	+	     4	TRUE
chr10	  79185	+	     3	TRUE
chr10	  79278	+	     1	TRUE
chr10	  79321	+	     6	TRUE
chr10	  79709	+	     2	TRUE
chr10	  79742	+	     1	TRUE
chr10	  79761	+	     2	TRUE
chr10	  79766	+	     4	TRUE
chr10	  79846	+	     3	TRUE
chr10	  79853	+	     1	TRUE
chr10	  79941	+	     1	TRUE
chr10	  82266	+	     2	TRUE
chr10	  89782	+	     1	TRUE
chr10	  96527	+	     5	TRUE
chr10	  96554	+	    10	TRUE
chr10	  97113	+	     3	TRUE
chr10	  97635	+	     3	TRUE
chr10	  97955	+	     3	TRUE
chr10	  98479	+	     3	TRUE
chr10	  98901	+	     1	TRUE
chr10	 101690	+	     1	TRUE
chr10	 101693	+	    15	TRUE
chr10	 101778	+	     3	TRUE
chr10	 103834	+	     3	TRUE
chr10	 104600	+	     1	TRUE
chr10	 105460	+	     1	TRUE
chr10	 105604	+	     1	TRUE
chr10	 105621	+	     1	TRUE
chr10	 105623	+	     3	TRUE
chr10	 105626	+	     1	TRUE
chr10	 105713	+	     1	TRUE
chr10	 105715	+	     1	TRUE
chr10	 106059	+	     2	TRUE
chr10	 106371	+	     2	TRUE
chr10	 107465	+	     1	TRUE
chr10	 107476	+	     1	TRUE
chr10	 107485	+	     1	TRUE
chr10	 107488	+	     3	TRUE
chr10	 107500	+	     2	TRUE
chr10	 107542	+	     3	TRUE
chr10	 107875	+	     3	TRUE
chr10	 107878	+	     1	TRUE
chr10	 107900	+	     5	TRUE
chr10	 108742	+	     1	TRUE
chr10	 108784	+	     1	TRUE
chr10	 109444	+	     1	TRUE
chr10	 109477	+	     5	TRUE
chr10	 109565	+	     2	TRUE
chr10	 109915	+	     3	TRUE
chr10	 110102	+	     1	TRUE
chr10	 110589	+	     1	TRUE
chr10	 110614	+	     3	TRUE
chr10	 110625	+	     2	TRUE
