seq	TSS	strand	nTAGs	isreal
chr10	  67953	+	     1	TRUE
chr10	  68454	+	    13	TRUE
chr10	  68876	+	     4	TRUE
chr10	  69716	+	     1	TRUE
chr10	  71147	+	     2	TRUE
chr10	  75216	+	     8	TRUE
chr10	  75219	+	     3	TRUE
chr10	  75222	+	     5	TRUE
chr10	  75234	+	     2	TRUE
chr10	  75246	+	     3	TRUE
chr10	  75248	+	     1	TRUE
chr10	  75263	+	     1	TRUE
chr10	  75280	+	     1	TRUE
chr10	  75335	+	     4	TRUE
chr10	  75489	+	     1	TRUE
chr10	  75490	+	     3	TRUE
chr10	  75539	+	     3	TRUE
chr10	  75986	+	     1	TRUE
chr10	  76008	+	     7	TRUE
chr10	  76040	+	     5	TRUE
chr10	  76081	+	     1	TRUE
chr10	  76085	+	     2	TRUE
chr10	  76131	+	     1	TRUE
chr10	  79209	+	     1	TRUE
chr10	  79321	+	     1	TRUE
chr10	  79829	+	     2	TRUE
chr10	  79899	+	     4	TRUE
chr10	  84504	+	     2	TRUE
chr10	  97667	+	     1	TRUE
chr10	  98979	+	     2	TRUE
chr10	 101693	+	    10	TRUE
chr10	 103592	+	     5	TRUE
chr10	 105623	+	     1	TRUE
chr10	 105957	+	     9	TRUE
chr10	 106058	+	     2	TRUE
chr10	 106089	+	     2	TRUE
chr10	 107465	+	     1	TRUE
chr10	 107664	+	    18	TRUE
chr10	 107878	+	     9	TRUE
chr10	 107956	+	     4	TRUE
chr10	 108418	+	     3	TRUE
chr10	 108647	+	     4	TRUE
chr10	 108802	+	     3	TRUE
chr10	 110710	+	     1	TRUE
chr10	 111035	+	     2	TRUE
chr10	 111186	+	     9	TRUE
chr10	 112152	+	     9	TRUE
chr10	 113121	+	    12	TRUE
chr10	 113430	+	     2	TRUE
chr10	 181743	+	     7	TRUE
chr10	 181748	+	     1	TRUE
chr10	 182466	+	     2	TRUE
chr10	 183227	+	     1	TRUE
chr10	 191531	+	     2	TRUE
chr10	 193854	+	     6	TRUE
chr10	 197761	+	     3	TRUE
chr10	 203201	+	     5	TRUE
chr10	 204886	+	     6	TRUE
chr10	 218828	+	    15	TRUE
chr10	 224315	+	     6	TRUE
chr10	 224316	+	     9	TRUE
chr10	 224359	+	     1	TRUE
chr10	 225460	+	     4	TRUE
chr10	 226385	+	     1	TRUE
chr10	 226396	+	     1	TRUE
chr10	 252153	+	    11	TRUE
chr10	 252191	+	    12	TRUE
chr10	 252428	+	     1	TRUE
chr10	 252513	+	     2	TRUE
chr10	 252525	+	     5	TRUE
chr10	 256159	+	     2	TRUE
chr10	 290302	+	     9	TRUE
chr10	 290316	+	     4	TRUE
chr10	 290320	+	     1	TRUE
chr10	 290901	+	     1	TRUE
chr10	 291324	+	     1	TRUE
chr10	 291765	+	     1	TRUE
chr10	 291822	+	     2	TRUE
chr10	 292115	+	     2	TRUE
chr10	 293989	+	     1	TRUE
chr10	 295101	+	     4	TRUE
chr10	 353962	+	     1	TRUE
chr10	 356392	+	     8	TRUE
chr10	 357393	+	     1	TRUE
chr10	 362496	+	     2	TRUE
chr10	 364345	+	    15	TRUE
chr10	 364350	+	     6	TRUE
chr10	 364438	+	     6	TRUE
chr10	 364932	+	     6	TRUE
chr10	 367359	+	     1	TRUE
chr10	 371777	+	     1	TRUE
chr10	 371999	+	     2	TRUE
chr10	 372789	+	     1	TRUE
chr10	 376435	+	    19	TRUE
chr10	 376436	+	     2	TRUE
chr10	 376470	+	    10	TRUE
