seq	TSS	strand	nTAGs	isreal
chr10	  71114	+	    99	TRUE
chr10	  71122	+	    16	TRUE
chr10	  75216	+	     1	TRUE
chr10	  75250	+	     8	TRUE
chr10	  80004	+	     2	TRUE
chr10	 101690	+	   240	TRUE
chr10	 101691	+	     1	TRUE
chr10	 313226	+	    16	TRUE
chr10	 371777	+	     4	TRUE
chr10	 472987	+	    25	TRUE
chr10	 522067	+	    21	TRUE
chr10	 567063	+	     2	TRUE
chr10	 567325	+	    29	TRUE
chr10	 669039	+	    17	TRUE
chr10	 689593	+	    19	TRUE
chr10	 796235	+	     1	TRUE
chr10	 800792	+	     3	TRUE
chr10	 822386	+	    15	TRUE
chr10	 895175	+	     1	TRUE
chr10	 898787	+	   173	TRUE
chr10	 898788	+	     1	TRUE
chr10	 957055	+	     3	TRUE
chr10	 957649	+	    62	TRUE
chr10	 963121	+	     1	TRUE
chr10	1001083	+	    68	TRUE
chr10	1008723	+	    24	TRUE
chr10	1056658	+	     9	TRUE
chr10	1077223	+	     3	TRUE
chr10	1098350	+	    40	TRUE
chr10	1123107	+	   151	TRUE
chr10	1149073	+	   108	TRUE
chr10	1161009	+	    41	TRUE
chr10	1183389	+	   135	TRUE
chr10	1183958	+	    11	TRUE
chr10	1201402	+	    57	TRUE
chr10	1207289	+	    33	TRUE
chr10	1223006	+	     1	TRUE
chr10	1251595	+	   326	TRUE
chr10	1251596	+	     1	TRUE
chr10	1259738	+	    56	TRUE
chr10	1259739	+	     1	TRUE
chr10	1366278	+	    44	TRUE
chr10	1448427	+	    92	TRUE
chr10	1448429	+	     1	TRUE
chr10	1460446	+	   276	TRUE
chr10	1518152	+	    49	TRUE
chr10	1530301	+	    10	TRUE
chr10	1530346	+	    10	TRUE
chr10	1530369	+	     8	TRUE
chr10	1547353	+	    17	TRUE
chr10	1611336	+	    99	TRUE
chr10	1611338	+	     1	TRUE
chr10	1625557	+	     4	TRUE
chr10	1712002	+	     7	TRUE
chr10	1725621	+	    41	TRUE
chr10	1787811	+	    59	TRUE
chr10	1804109	+	    25	TRUE
chr10	1847869	+	     8	TRUE
chr10	2021378	+	    82	TRUE
chr10	2021404	+	   224	TRUE
chr10	2021447	+	     2	TRUE
chr10	2176999	+	    51	TRUE
chr10	2182001	+	    41	TRUE
chr10	2219864	+	   141	TRUE
chr10	2390203	+	   142	TRUE
chr10	2391210	+	     5	TRUE
chr10	2478317	+	    11	TRUE
chr10	2593871	+	   145	TRUE
chr10	2594241	+	   103	TRUE
chr10	2634072	+	   265	TRUE
chr10	2674918	+	    42	TRUE
chr10	2674919	+	     1	TRUE
chr10	2725476	+	     5	TRUE
chr10	2753134	+	     2	TRUE
chr10	2753633	+	   140	TRUE
chr10	2775413	+	    20	TRUE
chr10	2829109	+	    19	TRUE
chr10	2831867	+	     1	TRUE
chr10	2858537	+	    79	TRUE
chr10	2859054	+	     9	TRUE
chr10	2909330	+	     5	TRUE
chr10	2928881	+	     8	TRUE
chr10	2928896	+	   220	TRUE
chr10	2928898	+	     1	TRUE
chr10	2955269	+	     2	TRUE
chr10	2980534	+	   351	TRUE
chr10	2980562	+	    19	TRUE
chr10	2981151	+	    19	TRUE
chr10	2981209	+	    40	TRUE
chr10	2981239	+	   187	TRUE
chr10	 217404	-	    72	TRUE
chr10	 235426	-	    15	TRUE
chr10	 263268	-	     1	TRUE
chr10	 318825	-	   135	TRUE
chr10	 447395	-	     6	TRUE
chr10	 462137	-	     1	TRUE
chr10	 462508	-	   117	TRUE
chr10	 573004	-	     1	TRUE
chr10	 611792	-	    15	TRUE
chr10	 611933	-	     1	TRUE
chr10	 611934	-	   273	TRUE
chr10	 627743	-	     2	TRUE
chr10	 858106	-	    14	TRUE
chr10	 871715	-	     1	TRUE
chr10	 929669	-	   125	TRUE
chr10	 972348	-	    68	TRUE
chr10	1004350	-	     1	TRUE
chr10	1004352	-	   113	TRUE
chr10	1004353	-	     1	TRUE
chr10	1009722	-	    83	TRUE
chr10	1027065	-	    18	TRUE
chr10	1053620	-	    14	TRUE
chr10	1054308	-	     8	TRUE
chr10	1095341	-	     1	TRUE
chr10	1117349	-	    41	TRUE
chr10	1126457	-	    10	TRUE
chr10	1156002	-	    45	TRUE
chr10	1173393	-	     1	TRUE
chr10	1173395	-	   117	TRUE
chr10	1182463	-	    40	TRUE
chr10	1183138	-	     1	TRUE
chr10	1411062	-	   109	TRUE
chr10	1411894	-	     6	TRUE
chr10	1439091	-	    61	TRUE
chr10	1445315	-	    21	TRUE
chr10	1525772	-	     3	TRUE
chr10	1624827	-	     2	TRUE
chr10	1646691	-	     2	TRUE
chr10	1688447	-	     9	TRUE
chr10	1712527	-	     3	TRUE
chr10	1718162	-	    63	TRUE
chr10	1724819	-	     4	TRUE
chr10	1757140	-	    95	TRUE
chr10	1853877	-	     5	TRUE
chr10	1856277	-	     1	TRUE
chr10	1856278	-	    98	TRUE
chr10	1891745	-	     1	TRUE
chr10	1926844	-	    41	TRUE
chr10	1926855	-	     4	TRUE
chr10	1929290	-	     4	TRUE
chr10	1973567	-	    28	TRUE
chr10	1991344	-	     1	TRUE
