seq	TSS	strand	nTAGs	isreal
chr10	  80335	+	   256	TRUE
chr10	  84417	+	    41	TRUE
chr10	  86561	+	    19	TRUE
chr10	 200682	+	   119	TRUE
chr10	 203868	+	     1	TRUE
chr10	 255183	+	   145	TRUE
chr10	 255196	+	     1	TRUE
chr10	 291207	+	     8	TRUE
chr10	 291209	+	     1	TRUE
chr10	 292146	+	     1	TRUE
chr10	 297754	+	     2	TRUE
chr10	 322443	+	   202	TRUE
chr10	 322445	+	     1	TRUE
chr10	 332797	+	    39	TRUE
chr10	 349978	+	    27	TRUE
chr10	 364487	+	    97	TRUE
chr10	 371643	+	    11	TRUE
chr10	 376485	+	    98	TRUE
chr10	 376816	+	   205	TRUE
chr10	 413173	+	    31	TRUE
chr10	 415224	+	   428	TRUE
chr10	 417042	+	   131	TRUE
chr10	 450016	+	    36	TRUE
chr10	 450241	+	   151	TRUE
chr10	 458853	+	   196	TRUE
chr10	 458877	+	     1	TRUE
chr10	 489491	+	    11	TRUE
chr10	 493639	+	    18	TRUE
chr10	 504690	+	   300	TRUE
chr10	 535749	+	     3	TRUE
chr10	 554960	+	    13	TRUE
chr10	 563078	+	     6	TRUE
chr10	 591375	+	     9	TRUE
chr10	 638228	+	     2	TRUE
chr10	 731539	+	   110	TRUE
chr10	 731540	+	     3	TRUE
chr10	 731541	+	     1	TRUE
chr10	 753349	+	   257	TRUE
chr10	 754354	+	    68	TRUE
chr10	 779730	+	   196	TRUE
chr10	 800792	+	    63	TRUE
chr10	 800794	+	     1	TRUE
chr10	 824920	+	    54	TRUE
chr10	 850513	+	   205	TRUE
chr10	 884172	+	   115	TRUE
chr10	 914003	+	    43	TRUE
chr10	 923019	+	   256	TRUE
chr10	 923245	+	     2	TRUE
chr10	 929510	+	    12	TRUE
chr10	 977364	+	   133	TRUE
chr10	 977365	+	     1	TRUE
chr10	1003079	+	    60	TRUE
chr10	1062311	+	    25	TRUE
chr10	1076117	+	    36	TRUE
chr10	1083897	+	     8	TRUE
chr10	1086280	+	     1	TRUE
