seq	TSS	strand	nTAGs	isreal
chr10	  71060	+	   220	TRUE
chr10	  75213	+	     8	TRUE
chr10	  75539	+	    18	TRUE
chr10	 101693	+	   164	TRUE
chr10	 101711	+	     1	TRUE
chr10	 191531	+	    14	TRUE
chr10	 198575	+	     3	TRUE
chr10	 203839	+	    45	TRUE
chr10	 251675	+	    43	TRUE
chr10	 274250	+	    24	TRUE
chr10	 290299	+	   260	TRUE
chr10	 290320	+	     1	TRUE
chr10	 349795	+	   104	TRUE
chr10	 349826	+	   435	TRUE
chr10	 370313	+	     1	TRUE
chr10	 433286	+	     1	TRUE
chr10	 450171	+	    14	TRUE
chr10	 498995	+	    44	TRUE
chr10	 505908	+	     1	TRUE
chr10	 509620	+	     2	TRUE
chr10	 648577	+	     1	TRUE
chr10	 679900	+	   114	TRUE
chr10	 679901	+	     1	TRUE
chr10	 688927	+	     1	TRUE
chr10	 721399	+	     6	TRUE
chr10	 792002	+	     2	TRUE
chr10	 792038	+	    81	TRUE
chr10	 792040	+	     1	TRUE
chr10	 798211	+	   106	TRUE
chr10	 804188	+	    39	TRUE
chr10	 895932	+	    51	TRUE
chr10	 898270	+	    21	TRUE
chr10	 900552	+	    10	TRUE
chr10	 923234	+	    79	TRUE
chr10	 932127	+	    13	TRUE
chr10	 937467	+	    50	TRUE
chr10	 937833	+	     1	TRUE
chr10	 955116	+	    65	TRUE
chr10	1009756	+	    11	TRUE
chr10	1076212	+	   312	TRUE
chr10	1101752	+	     4	TRUE
chr10	1102926	+	     1	TRUE
chr10	1118421	+	     4	TRUE
chr10	1123955	+	   342	TRUE
chr10	1123966	+	     2	TRUE
chr10	1128383	+	     7	TRUE
chr10	1149715	+	   192	TRUE
chr10	1161002	+	     1	TRUE
chr10	1161003	+	   316	TRUE
chr10	1161005	+	     1	TRUE
chr10	1161015	+	     1	TRUE
chr10	1174051	+	   146	TRUE
chr10	1183389	+	    10	TRUE
chr10	1183519	+	   305	TRUE
chr10	1183520	+	     1	TRUE
chr10	1183588	+	   191	TRUE
chr10	1190142	+	   279	TRUE
chr10	1190143	+	     1	TRUE
chr10	1190144	+	     1	TRUE
chr10	1197532	+	    60	TRUE
chr10	1197829	+	     4	TRUE
chr10	1198184	+	     6	TRUE
chr10	1199511	+	   252	TRUE
chr10	1223006	+	    13	TRUE
chr10	1225225	+	    75	TRUE
chr10	1251595	+	    44	TRUE
chr10	1305069	+	     1	TRUE
chr10	1465632	+	    72	TRUE
chr10	1465634	+	     1	TRUE
chr10	1525823	+	     2	TRUE
chr10	1526369	+	     5	TRUE
chr10	1531885	+	     1	TRUE
chr10	1547353	+	   386	TRUE
chr10	1547360	+	    25	TRUE
chr10	1570489	+	     1	TRUE
chr10	1576529	+	    60	TRUE
chr10	1602209	+	   381	TRUE
chr10	1602210	+	     1	TRUE
chr10	1672204	+	     9	TRUE
chr10	1719333	+	     4	TRUE
chr10	1784071	+	     1	TRUE
chr10	1804109	+	    48	TRUE
chr10	1834506	+	    47	TRUE
chr10	1834508	+	     1	TRUE
chr10	1834547	+	     1	TRUE
chr10	1834548	+	    51	TRUE
chr10	1853536	+	   312	TRUE
chr10	1853537	+	     1	TRUE
chr10	1870631	+	    65	TRUE
chr10	1937748	+	   163	TRUE
chr10	1937750	+	     1	TRUE
chr10	1968155	+	   419	TRUE
chr10	1968176	+	     1	TRUE
chr10	1999868	+	   206	TRUE
chr10	1999869	+	     1	TRUE
chr10	2105035	+	    24	TRUE
chr10	2117564	+	     1	TRUE
chr10	2117565	+	   424	TRUE
chr10	2117566	+	     1	TRUE
chr10	2117612	+	    34	TRUE
chr10	2117974	+	     1	TRUE
chr10	2119343	+	    76	TRUE
chr10	2299381	+	     4	TRUE
chr10	2379484	+	     1	TRUE
chr10	2390217	+	   104	TRUE
chr10	2390218	+	     1	TRUE
chr10	2391104	+	   389	TRUE
chr10	2391105	+	     1	TRUE
chr10	2391448	+	   162	TRUE
chr10	2391468	+	     8	TRUE
chr10	2413655	+	    37	TRUE
chr10	2474456	+	     7	TRUE
chr10	2474457	+	     1	TRUE
chr10	2601632	+	   149	TRUE
chr10	2601633	+	     1	TRUE
chr10	2605001	+	    27	TRUE
chr10	2607748	+	    23	TRUE
chr10	2726021	+	    47	TRUE
chr10	2739285	+	    25	TRUE
chr10	2803101	+	    89	TRUE
chr10	2811738	+	   345	TRUE
chr10	2812294	+	     7	TRUE
chr10	2820965	+	     2	TRUE
chr10	2858022	+	     3	TRUE
chr10	2859054	+	    24	TRUE
chr10	2859055	+	     1	TRUE
chr10	2928197	+	    75	TRUE
chr10	2928482	+	    10	TRUE
chr10	2929371	+	     1	TRUE
chr10	2931167	+	     6	TRUE
chr10	2964829	+	   124	TRUE
chr10	2980213	+	    24	TRUE
chr10	2981206	+	     5	TRUE
chr10	2981209	+	     7	TRUE
chr10	2984046	+	    31	TRUE
chr10	 269203	-	     1	TRUE
chr10	 274949	-	     9	TRUE
chr10	 319127	-	     1	TRUE
chr10	 325500	-	     9	TRUE
chr10	 447395	-	    17	TRUE
chr10	 462502	-	     1	TRUE
chr10	 462508	-	    33	TRUE
chr10	 462509	-	    20	TRUE
chr10	 498721	-	    29	TRUE
chr10	 520241	-	     1	TRUE
chr10	 520242	-	   232	TRUE
